time_ms,ldr_signal_1,ldr_signal_2
35231,607,636
35281,609,630
35333,605,614
35383,595,591
35434,583,564
35484,570,537
35535,556,512
35586,547,505
35637,547,523
35687,555,552
35737,569,582
35788,583,607
35838,596,625
35890,605,635
35940,610,634
35991,608,624
36041,601,603
36091,589,578
36143,576,551
36193,563,523
36244,550,505
36294,545,512
36345,550,538
36396,562,568
36447,576,596
36497,590,617
36547,601,631
36598,608,635
36648,609,630
36700,604,613
36750,594,589
36801,582,563
36851,569,535
36902,555,510
36953,546,506
37003,547,524
37054,556,554
37104,569,584
37155,583,608
37206,596,626
37257,605,635
37307,609,634
37357,607,622
37408,599,601
37458,588,575
37510,575,548
37560,561,520
37611,549,505
37661,546,514
37712,551,540
37763,563,571
37813,577,598
37864,591,619
37914,602,632
37965,608,636
38016,609,628
38067,604,611
38117,593,587
38168,581,560
38218,568,532
38268,553,509
38320,546,506
38370,548,528
38421,557,557
38471,571,586
38522,585,611
38573,597,627
38623,606,635
38674,609,634
38724,607,620
38775,598,598
38825,587,572
38877,574,545
38927,560,517
38978,548,504
39028,545,516
39078,552,544
39130,565,574
39180,579,601
39231,592,621
39281,603,633
39332,609,635
39383,609,627
39434,602,608
39484,592,583
39534,579,556
39585,565,528
39635,552,507
39687,545,509
39737,548,531
39788,559,562
39838,573,590
39888,587,614
39940,599,629
39990,607,636
40041,610,632
40091,606,616
40142,597,594
40193,585,568
40244,572,541
40294,558,514
40344,547,505
40395,546,519
40445,554,548
40497,566,578
40547,581,604
40598,594,623
40648,604,634
40699,609,635
40750,608,625
40800,601,605
40851,590,580
40901,578,553
40952,564,525
41003,551,506
41054,545,510
41104,549,534
41154,561,565
41205,574,593
41255,588,615
41307,600,630
41357,607,636
41408,610,631
41458,605,615
41509,595,592
41560,584,566
41610,570,538
41661,556,512
41711,547,505
41762,547,522
41812,555,551
41864,568,580
41914,582,606
41965,595,625
42015,605,634
,,
42065,609,634
42117,608,623
42167,600,603
42218,589,577
42268,576,550
42319,563,523
42370,550,505
42420,545,512
42471,550,537
42521,562,567
42572,575,595
42622,589,617
42674,601,631
42724,607,635
42775,609,630
42825,604,612
42875,594,589
42927,582,562
42977,569,535
43028,555,510
43078,546,506
43129,547,525
43180,556,554
43230,569,584
43281,584,609
43331,596,627
43382,606,635
43432,609,634
43484,607,621
43534,599,599
43585,588,574
43635,574,546
43685,561,519
43737,548,504
43787,545,515
43838,552,542
43888,564,573
43939,578,600
43990,592,620
44041,602,633
44091,609,636
44141,609,627
44192,602,608
44242,592,584
44294,580,558
44344,566,530
44395,553,508
44445,545,508
44495,548,530
44547,559,560
44597,572,589
44648,586,613
44698,598,629
44749,607,635
44800,610,632
44851,606,617
44901,597,595
44951,585,569
45002,572,541
45052,558,514
45104,547,504
45154,545,519
45205,554,547
45255,566,577
45306,580,603
45357,594,623
45407,604,634
45458,609,635
45508,608,625
45559,601,604
45609,590,580
45661,577,553
45711,564,525
45761,550,505
45812,545,511
45862,550,536
45914,561,567
45964,575,595
46015,589,617
46065,600,631
46116,607,636
46167,609,630
46217,604,613
46268,595,590
46318,582,563
46369,569,536
46419,555,510
46471,546,506
46521,547,524
46571,556,554
46622,569,583
46672,584,608
46724,596,627
46774,605,635
46825,609,634
46875,607,621
46926,599,600
46977,588,575
47027,575,547
47078,561,519
47128,549,505
47179,545,515
47229,552,542
47281,564,572
47331,577,599
47382,591,620
47432,602,632
47482,608,635
47534,609,628
47584,603,609
47635,593,585
47685,580,558
47736,566,531
47787,553,508
47837,545,507
47888,548,529
47938,558,559
47989,572,588
48039,586,613
48091,598,628
48141,606,636
48192,609,633
48242,607,619
48292,598,596
48344,586,571
48394,573,543
48445,559,517
48495,549,505
48546,546,519
48596,554,546
48648,567,577
48698,580,603
48748,593,623
48799,604,634
48849,609,636
48901,609,627
48951,603,608
49002,592,584
49052,580,556
49102,566,528
49154,552,507
49204,546,509
49255,549,532
49305,560,563
49356,574,592
49406,588,614
49458,599,630
49508,607,636
49558,610,632
49609,606,618
49659,598,596
49711,586,569
49761,572,542
49812,558,515
49862,548,505
49913,546,521
49964,554,548
50014,567,579
50065,581,605
50115,595,624
50166,604,634
50216,610,635
50268,609,626
50318,602,606
50368,591,580
50419,578,553
50469,564,525
50521,552,506
50571,546,511
50622,550,535
50672,561,566
50723,575,594
50774,589,617
50824,601,631
50875,608,636
50925,610,631
50976,605,615
51026,596,592
51078,584,566
51128,571,538
51179,556,512
51229,547,506
51279,547,523
51331,556,553
51381,569,583
51432,583,608
51482,596,626
51533,606,635
51584,609,635
51634,608,623
51685,600,603
51735,589,577
51786,576,549
51836,562,521
51888,550,505
51938,546,514
51989,552,540
52039,563,571
52089,577,598
52141,591,620
52191,602,633
52242,608,636
52292,609,630
52343,605,612
52393,594,588
52444,582,561
52495,568,533
52545,554,509
52596,546,508
52646,548,529
52698,558,558
52748,572,587
52799,586,612
52849,598,628
52899,607,636
,,
52951,610,633
53001,607,620
53052,599,598
53102,587,572
53153,574,544
53203,560,517
53255,548,505
53305,546,518
53355,553,546
53406,566,577
53456,580,603
53508,594,623
53558,604,634
53609,610,636
53659,609,627
53709,602,607
53761,592,582
53811,579,555
53862,565,527
53912,552,507
53963,546,511
54013,550,535
54065,561,565
54115,575,593
54165,589,616
54216,601,631
54266,608,637
54318,610,631
54368,605,615
54419,596,592
54469,584,565
54520,570,538
54571,556,512
54621,547,506
54672,547,524
54722,556,554
54773,570,584
54823,584,609
54875,596,627
54925,606,636
54975,610,634
55026,608,622
55076,600,601
55128,589,575
55178,575,547
55229,561,520
55279,549,505
55330,546,516
55380,552,543
55431,565,574
55482,579,601
55532,592,621
55583,603,634
55633,609,636
55685,609,627
55735,603,609
55786,592,584
55836,580,557
55886,566,529
55938,552,507
55988,546,510
56039,549,533
56089,560,564
56140,574,592
56190,588,615
56241,600,631
56292,608,636
56342,610,632
56393,605,616
56443,596,592
56495,584,566
56545,570,538
56596,556,512
56646,547,506
56696,547,525
56748,556,554
56798,570,584
56849,584,609
56899,597,627
56950,606,635
57000,610,634
57051,607,622
57102,599,600
57152,588,575
57203,575,547
57253,561,519
57305,549,505
57355,546,516
57406,553,543
57456,565,575
57506,579,601
57558,593,622
57608,603,633
57659,609,636
57709,609,627
57760,603,607
57810,592,583
57862,579,555
57912,565,528
57962,552,507
58013,546,510
58063,550,535
58115,561,565
58165,575,594
58216,589,616
58266,600,631
58316,608,636
58368,610,631
58418,605,614
58469,596,591
58519,583,564
58570,570,536
58620,555,511
58672,546,506
58722,547,525
58772,557,555
58823,570,586
58873,585,610
58925,597,627
58975,606,636
59026,610,633
59076,607,620
59127,599,598
59177,587,572
59228,574,544
59279,560,517
59329,548,505
59380,546,518
59430,554,546
59482,566,577
59532,580,604
59582,594,623
59633,604,634
59683,609,635
59735,608,625
59785,601,605
59836,591,580
59886,578,552
59937,563,524
59987,551,506
60038,545,512
